AF;$100.00;$90.00;$890.00;$800.00;TBA;TBA;
AL;$100.00;$90.00;$530.00;$90.00;$280.00;Free;
DZ;$80.00;$80.00;$690.00;$200.00;Free;Free;
AS;$480.00;$480.00;$1,340.00;$1,340.00;Free;Free;
AD;$139.00;$85.00;$1,093.00;$164.00;Free;Free;
AO;$139.00;$139.00;$1,336.00;$1,142.00;Free;Free;
AI;$180.00;$120.00;$950.00;$380.00;Free;Free;
AG;$180.00;$120.00;$1,050.00;$455.00;Free;Free;
AR;$90.00;$80.00;$520.00;$480.00;Free;Free;
ARIPO;$130.00;$70.00;$1,350.00;$175.00;$1,400.00;$670.00;
AM;$180.00;$100.00;$650.00;$145.00;$425.00;Free;
AW;$250.00;$120.00;$1,180.00;$150.00;Free;Free;
AU;$110.00;$55.00;$390.00;$390.00;Free;Free;
AT;$80.00;$80.00;$1,345.00;$180.00;Free;Free;
AZ;$125.00;$125.00;$760.00;$100.00;$515.00;Free;
BS;$125.00;$125.00;$1,280.00;$810.00;Free;Free;
BH;$110.00;$110.00;$965.00;$965.00;$1,530.00;$1,530.00;
BD;$150.00;$150.00;$490.00;$450.00;$480.00;$450.00;
BB;$180.00;$120.00;$1,690.00;$1,560.00;Free;Free;
BY;$110.00;$110.00;$990.00;$230.00;$620.00;Free;
BE;$109.00;$109.00;$648.00;$227.00;Free;Free;
BZ;$120.00;$100.00;$820.00;$360.00;Free;Free;
BX;$109.00;$109.00;$648.00;$227.00;Free;Free;
BJ;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
BM;$125.00;$125.00;$1,570.00;$1,530.00;Free;Free;
BT;$120.00;$80.00;$465.00;$360.00;$360.00;$275.00;
BO;$90.00;$70.00;$690.00;$680.00;Free;Free;
BA;$120.00;$80.00;$750.00;$120.00;$1,050.00;$120.00;
BW;$130.00;$70.00;$1,350.00;$175.00;$1,400.00;$670.00;
BR;$80.00;$80.00;$540.00;$540.00;$694.00;$694.00;
IO;$125.00;$125.00;$1,145.00;$585.00;Free;Free;
BN;$125.00;$125.00;$1,220.00;$710.00;$285.00;$220.00;
BG;$85.00;$85.00;$607.00;$78.00;$668.00;Free;
BF;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
BI;$350.00;$50.00;$1,435.00;$100.00;Free;Free;
KH;$125.00;$125.00;$600.00;$400.00;Free;Free;
CM;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
CA;$88.00;$88.00;$749.00;$192.00;Free;Free;
CV;$139.00;$139.00;$905.00;$540.00;$589.00;$558.00;
KY;$190.00;$113.00;$1,728.00;$328.00;Free;Free;
CF;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
TD;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
CL;$70.00;$70.00;$450.00;$400.00;$300.00;$300.00;
CN;$75.00;$75.00;$400.00;$400.00;Free;Free;
CO;$60.00;$60.00;$665.00;$525.00;Free;Free;
KM;$455.00;$115.00;$1,330.00;$303.00;Free;Free;
CR;$85.00;$65.00;$535.00;$520.00;Free;Free;
HR;$83.00;$83.00;$775.00;$46.00;$766.00;$85.00;
CY;$103.00;$97.00;$959.00;$619.00;Free;Free;
CZ;$80.00;$80.00;$840.00;$135.00;Free;Free;
DK;$70.00;$70.00;$640.00;$130.00;Free;Free;
DJ;$290.00;$250.00;$1,990.00;$700.00;Free;Free;
DM;$125.00;$125.00;$1,270.00;$590.00;Free;Free;
DO;$85.00;$85.00;$490.00;$410.00;Free;Free;
TL;TBA;TBA;$1,178.00;$7.00;Free;Free;
EC;$65.00;$65.00;$570.00;$570.00;Free;Free;
